bill_id,LD_num,term,session,title,commem
SP0101,LD0201,2023_2024,SS1,An Act to Make Permanent the Ability of Certain Retailers and Distilleries to Sell Liquor for Off-premises Consumption and Cocktails for On-premises Consumption,0
SP0102,LD0202,2023_2024,SS1,An Act to Clarify the Requirements for Adult Use Cannabis Stores to Transact Sales at Specified Events,0
SP0103,LD0203,2023_2024,SS1,"Resolve, to Create a Working Group to Study Motor Vehicle Dealer Display Area and Licensing Requirements",0
SP0104,LD0204,2023_2024,SS1,An Act to Ensure Safe Access to Schools by Implementing Interlocking Door Controller Technology,0
SP0105,LD0205,2023_2024,RS1,An Act to Update the Reimbursement for Travel-related Expenses Incurred as a Result of the Performance of Legislative Duties,0
HP0127,LD0206,2023_2024,RS1,"An Act to Make Supplemental Appropriations and Allocations from the General Fund and Other Funds for the Expenditures of State Government and to Change Certain Provisions of the Law Necessary to the Proper Operations of State Government for the Fiscal Year Ending June 30, 2023",0
HP0128,LD0207,2023_2024,SS1,"Resolve, Directing the Commissioner of Public Safety to Establish a Stakeholder Group to Examine the Responsibilities, Fees and Duties of the Technical Building Codes and Standards Board",0
HP0129,LD0208,2023_2024,RS2,An Act to Require MaineCare Assessments for Children,0
HP0130,LD0209,2023_2024,SS1,An Act to Authorize an Interim Use Trail on the Berlin Subdivision Rail Corridor,0
HP0131,LD0210,2023_2024,RS2,An Act to Expand the List of Persons Exempt from the Real Estate Transfer Tax,0
HP0132,LD0211,2023_2024,SS1,An Act to Amend the Laws Governing Water Supply Protection Funds,0
HP0133,LD0212,2023_2024,RS2,An Act to Authorize a General Fund Bond Issue to Upgrade Municipal Culverts at Stream Crossings,0
HP0134,LD0213,2023_2024,SS1,"An Act to Maintain the Authority of the Maine School for Marine Science, Technology, Transportation and Engineering",0
HP0135,LD0214,2023_2024,SS1,"An Act to Amend the Laws Regarding Zoning and Land Use Restrictions to Limit Certain Requirements to Municipalities with a Population of More than 10,000",0
HP0136,LD0215,2023_2024,RS1,"Resolve, to Require the Commissioner of Public Safety to Conduct a Study Regarding Cadet Law Enforcement Officers Who Are Injured and Law Enforcement Officers Who Leave the Sponsoring Agency",0
HP0137,LD0216,2023_2024,RS1,An Act to Amend the Laws Governing Storm Water Management to Provide an Exemption for Trails for Hiking and Other Similar Activities,0
HP0138,LD0217,2023_2024,SS1,An Act to Support Manufacturers Whose Products Contain Perfluoroalkyl and Polyfluoroalkyl Substances,0
HP0139,LD0218,2023_2024,SS1,An Act to Clarify Maine Law Regarding Background Checks for the Office of Child and Family Services,0
HP0140,LD0219,2023_2024,SS1,An Act Regarding Appeals of License or Permit Decisions of the Commissioner of Environmental Protection,0
HP0141,LD0220,2023_2024,RS2,An Act to Support Maine's Farmers in the Development of Sustainable Irrigation,0
HP0142,LD0221,2023_2024,SS1,An Act Regarding Airboat Noise,0
HP0143,LD0222,2023_2024,SS1,An Act to Require Students to Demonstrate Knowledge of the Constitution of Maine and the United States Constitution,0
HP0144,LD0223,2023_2024,RS2,"Resolve, Directing the Department of Health and Human Services to Amend MaineCare Rules Regarding Pharmacy Services",0
HP0145,LD0224,2023_2024,SS1,An Act to Strengthen Maine's Health Care Workforce by Preventing Discrimination by Requiring Maintenance of Certification for Insurance Reimbursement,0
HP0146,LD0225,2023_2024,RS2,An Act Regarding Reimbursement to Hospitals for Patients Awaiting Placement in Nursing Facilities,0
HP0147,LD0226,2023_2024,RS2,An Act to Address Maine's Affordable Housing Crisis,0
HP0148,LD0227,2023_2024,RS2,An Act Regarding Legally Protected Health Care Activity in the State,0
