bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HB1012,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Legacy Capital Financing Fund; Department of Public Safety; recapitalization payments; distributions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1012&Session=231X
HB1013,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Legacy Capital Financing Fund; Oklahoma State University Veterinary Medicine Authority; recapitalization payments; distributions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1013&Session=231X
HB1014,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Menz (H); Hall (S),Legacy Capital Financing Fund; Oklahoma Department of Libraries; recapitalization payments; distributions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1014&Session=231X
HB1015,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; Budget Implementation Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1015&Session=231X
HB1016,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; Budget Implementation Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1016&Session=231X
HB1017,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Department of Emergency Management and Homeland Security; creating the Emergency Relief and Impacts Grant Program; establishing Emergency Relief and Impacts Revolving Fund; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1017&Session=231X
HB1018,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hill (H); Hall (S),Oklahoma Center for the Advancement of Science and Technology; making appropriations; source; amount; purpose; compliance; reports; requiring appearance before certain joint committee; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1018&Session=231X
HB1019,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hill (H); Hall (S),Oklahoma Department of Commerce; making appropriation to certain revolving fund; source; amount; requiring and limiting expenditure for certain purposes; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1019&Session=231X
HB1020,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Department of Emergency Management and Homeland Security; making an appropriation; source; amount; creating certain special account; reports; appearance before certain joint committee; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1020&Session=231X
HB1021,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Appropriations and Budget; creating the Budget Implementation Act of 2023; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1021&Session=231X
HB1022,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Courts; creating the Office of Judicial Performance Evaluation; purpose; creating Board of Judicial Performance Evaluation; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1022&Session=231X
HB1023,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Department of Environmental Quality; conditions for sale of certain building and appurtenance; office relocation; lease-purchase agreements; dismantling of certain appurtenances.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1023&Session=231X
HB1024,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Provenzano (H); Ranson (H); Menz (H); Swope (H); Hefner (H); Schreiber (H); Hall (S); Hicks (S),Fees; jurors' fees; increasing jurors' fees for attendance; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1024&Session=231X
HB1025,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Transportation; Rural Economic Transportation Reliability and Optimization Fund; modifying population limitation; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1025&Session=231X
HB1026,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),State government; salaries of statewide elected officials; limiting certain salary amounts to certain time period; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1026&Session=231X
