bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0238,2024,RS,Cathrynn N. Brown; David M. Gallegos; Steven McCutcheon  II; Jimmy Mason; Randall T. Pettigrew,DOT & EDDY COUNTY JOINT ROADWAY AGREEMENT,Died (API.),HTPWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=238&year=24
HB0239,2024,RS,Martin R. Zamora; Andrea Reeb,CANNABIS AS PRISON CONTRABAND,Chaptered,HCPAC Committee Report; HJC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=239&year=24
HB0240,2024,RS,Harlan Vincent; Alan T. Martinez; Luis M. Terrazas; Jack Chatfield; Jenifer Jones,VETERAN PTSD PROGRAM,Died (API.),HLVMC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=240&year=24
HB0241,2024,RS,Randall T. Pettigrew; James G. Townsend; Cathrynn N. Brown; Mark Duncan,COUNTY OFFICIAL SALARY CAPS,Died (API.),HLVMC Committee Report; HGEIC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=241&year=24
HB0242,2024,RS,Doreen Y. Gallegos; Daniel A. Ivey-Soto,MARRIAGE & DIVORCE CHANGES,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=242&year=24
HB0243,2024,RS,Harlan Vincent; Gail Armstrong; Alan T. Martinez; Mark Duncan; Cathrynn N. Brown,BALLOT BOX PICKUP & DELIVERY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=243&year=24
HB0244,2024,RS,Cathrynn N. Brown; Luis M. Terrazas; James G. Townsend,CAREER SCHOOL COURSES AS A SERIES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=244&year=24
HB0245,2024,RS,Jared Hembree; Candy Spence Ezzell; Larry R. Scott; Cathrynn N. Brown; Andrea Reeb,ROSWELL AIR CENTER AIR RACING EVENTS,Died (API.),HTPWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=245&year=24
HB0246,2024,RS,Cathrynn N. Brown,FINANCIAL LITERACY FOR GRADUATION,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=246&year=24
HB0247,2024,RS,Christine Chandler,PROPERTY TAX FORMS & CHANGES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=247&year=24
HB0248,2024,RS,Cathrynn N. Brown; Gail Armstrong,SOCIAL SECURITY INCOME TAX EXEMPTION CAP,Died (API.),HCEDC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=248&year=24
HB0249,2024,RS,Cathrynn N. Brown; Gail Armstrong; Art De La Cruz; Charlotte Little,SOCIAL SECURITY INCOME INDEXING,Died (API.),HCEDC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=249&year=24
HB0250,2024,RS,John Block,DEVELOPMENTAL DISABILITY FACILITY MONITORING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=250&year=24
HB0251,2024,RS,Mark Duncan; Luis M. Terrazas; Patricia A. Lundstrom; Harlan Vincent; William F. Burt,SPECIAL LICENSE PLATE PROCEDURES,Chaptered,HRDLC Committee Report; HAFC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=251&year=24
HB0252,2024,RS,Derrick J. Lente,ADJUST INCOME TAX BRACKETS,Chaptered,HCEDC Committee Report; HTRC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=252&year=24
HB0253,2024,RS,Derrick J. Lente; Nathan P. Small,CAPITAL OUTLAY CHANGES,Chaptered,HTRC Committee Report; HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=253&year=24
HB0254,2024,RS,Tara Jaramillo; Eleanor Chávez; Harry Garcia; Charlotte Little; Natalie Figueroa,CYFD & FEDERAL BENEFITS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=254&year=24
HB0255,2024,RS,John Block; David M. Gallegos,GADSDEN FLAG GUN SAFETY LICENSE PLATE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=255&year=24
HB0256,2024,RS,Tara Jaramillo; Willie D. Madrid,HIGHER ED TEACHER PREPARATION,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=256&year=24
HB0257,2024,RS,Jenifer Jones; Luis M. Terrazas,CONVENIENCE STORE FOOD GROSS RECEIPTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=257&year=24
HB0258,2024,RS,Gail Armstrong; Mark Duncan; Harlan Vincent; Jason C. Harper,PREMIUM TAX FOR EMERGENCY SERVICES,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=258&year=24
HB0259,2024,RS,Linda Serrato; Meredith A. Dixon,STATE INVESTMENT IN CLIMATE TECHNOLOGY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=259&year=24
HB0260,2024,RS,Rod Montoya,MFA AFFORDABLE HOUSING STUDY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=260&year=24
HB0261,2024,RS,Rod Montoya,AFFORDABLE HOUSING TAX CREDIT CHANGE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=261&year=24
HB0262,2024,RS,Joanne J. Ferrary,VETERINARY NON-COMPETE PROVISIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=262&year=24
HB0263,2024,RS,Larry R. Scott,NOTARIAL ACT FEE INCREASE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=263&year=24
HB0264,2024,RS,Harry Garcia; Alan T. Martinez; Debra M. Sariñana; Tara Jaramillo,MILITARY RETIREMENT PAY TAX EXEMPTION SUNSET,Died (API.),HLVMC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=264&year=24
HB0265,2024,RS,Stefani Lord; Tara Jaramillo; Harlan Vincent,HEALTH ASSISTANCE FOR CHILDREN IN CUSTODY,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=265&year=24
