bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0028,2024,RS,2024-01-23,LD: 3,Sent to HTPWC - Referrals: HTPWC/HAFC,4
HB0028,2024,RS,2024-01-26,LD: 4,HTPWC: Reported by committee with Do Pass recommendation,5
HB0028,2024,RS,2024-02-06,LD: 9,HAFC: Reported by committee with Do Pass recommendation with amendment(s),6
HB0028,2024,RS,2024-02-08,LD: 11,Passed in the House of Representatives - Y:65 N:0,7
HB0028,2024,RS,2024-02-09,LD: 7,Sent to SFC - Referrals: SFC,8
HB0028,2024,RS,2024-02-11,LD: 9,SFC: Reported by committee with Do Pass recommendation,9
HB0028,2024,RS,2024-02-13,LD: 9,Passed in the Senate - Y:40 N:0,10
HB0028,2024,RS,,,Signed by Governor - Chapter 11 - Feb. 28,11
HB0029,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0029,2024,RS,2024-01-16,LD: 1,Sent to HGEIC - Referrals: HGEIC/HAFC,2
HB0029,2024,RS,2024-01-23,LD: 3,HGEIC: Reported by committee with Do Pass recommendation,3
HB0029,2024,RS,2024-02-06,LD: 9,HAFC: Reported by committee with Do Pass recommendation,4
HB0029,2024,RS,2024-02-08,LD: 11,Passed in the House of Representatives - Y:63 N:0,5
HB0029,2024,RS,2024-02-09,LD: 7,Sent to SFC - Referrals: SFC,6
HB0029,2024,RS,2024-02-11,LD: 9,SFC: Reported by committee with Do Pass recommendation,7
HB0029,2024,RS,2024-02-14,LD: 14,Passed in the Senate - Y:36 N:0,8
HB0029,2024,RS,,,Signed by Governor - Chapter 12 - Feb. 28,9
HB0030,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0030,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0030,2024,RS,,,Action Postponed Indefinitely,3
HB0031,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0031,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0031,2024,RS,,,Action Postponed Indefinitely,3
HB0032,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0032,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0032,2024,RS,,,Action Postponed Indefinitely,3
HB0033,2024,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0033,2024,RS,2024-01-16,LD: 1,Not Printed,2
HB0033,2024,RS,2024-01-17,LD: 2,"Withdrawn from committee or daily calendar, ordered printed and referred to",3
HB0033,2024,RS,2024-01-17,LD: 2,Sent to HHHC - Referrals: HHHC/HAFC,4
HB0033,2024,RS,2024-01-25,LD: 4,HHHC: Reported by committee with Do Pass recommendation,5
HB0033,2024,RS,2024-02-02,LD: 7,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution as amended,6
HB0033,2024,RS,2024-02-07,LD: 10,House of Representatives Floor Amendment,7
HB0033,2024,RS,2024-02-07,LD: 10,Passed in the House of Representatives - Y:67 N:0,8
HB0033,2024,RS,2024-02-08,LD: 7,Sent to SHPAC - Referrals: SHPAC,9
HB0033,2024,RS,2024-02-10,LD: 8,SHPAC: Reported by committee with Do Pass recommendation,10
HB0033,2024,RS,2024-02-14,LD: 14,Passed in the Senate - Y:37 N:0,11
