bill_id,term,session,summary,subjects,commem
SB0220,2023_2024,2023-RS,Industrial Hemp Development Act,Consumer Protection,0
SB0221,2023_2024,2023-RS,Creating title clearinghouse for non-resident businesses,Motor Vehicles; Roads and Transportation,0
SB0222,2023_2024,2023-RS,Creating adult education taskforce,Education (K12),0
SB0223,2023_2024,2023-RS,Permitting Legislature to file suit in limited circumstances against Executive branch to faithfully execute laws passed,Constitutional Officers,0
SB0224,2023_2024,2023-RS,Establishing revocation of authority for spending by agency in support of challenge to WV law,Appropriations,0
SB0225,2023_2024,2023-RS,Banning sale of Kratom in WV,Crime; Public Safety,0
SB0226,2023_2024,2023-RS,Expiring funds from Coronavirus State Fiscal Recovery Fund to Reclamation of Abandoned and Dilapidated Properties Program Fund,Appropriations,0
SB0227,2023_2024,2023-RS,Promise for Promise Act,Education (Higher); Professions and Occupations,0
SB0228,2023_2024,2023-RS,Mandating extended supervision for persons convicted of stalking and related felonious acts,Crime,0
SB0229,2023_2024,2023-RS,Limiting liability of landowners when land is used for noncommercial recreational purposes,"Actions, Suits and Liens; Real and Personal Property",0
SB0230,2023_2024,2023-RS,Allowing voluntary immunization of students in private schools,Education (Higher); Education (K12); Health,0
SB0231,2023_2024,2023-RS,Transferring administration of WV Small Business Innovation Research and Small Business Technology Transfer Matching Funds Program to Department of Economic Development,Economic Development,0
SB0232,2023_2024,2023-RS,Creating study group to make recommendations regarding diversion of persons with disabilities from criminal justice system,Crime,0
SB0233,2023_2024,2023-RS,Extending expiration of temporary registration plates from 60 to 90 days,Motor Vehicles; Roads and Transportation,0
SB0234,2023_2024,2023-RS,Clarifying uniform statewide deadline for electronically submitted voter registration applications,Elections,0
SB0235,2023_2024,2023-RS,Relating to voting rights of formerly incarcerated individuals,Elections,0
SB0236,2023_2024,2023-RS,Motorsports Responsibility Act,"Actions, Suits and Liens; Motor Vehicles",0
SB0237,2023_2024,2023-RS,Relating to Public Employees Retirement System and State Teachers Retirement System,Education (K12); Retirement; State Personnel,0
SB0238,2023_2024,2023-RS,Specifying when public employee's spouse may be covered by PEIA,Insurance; State Personnel,0
SB0239,2023_2024,2023-RS,Requiring Commissioner of Bureau for Behavioral Health to engage certain providers and leaders to study homeless demographic,Health,0
SB0240,2023_2024,2023-RS,Requiring state board of examination or registration proceedings to be open to public inspection,Boards and Commissions; Records and Papers,0
SB0241,2023_2024,2023-RS,Patient Brokering Act,Health,0
SB0242,2023_2024,2023-RS,Relating to residential substance use disorder programs,Health,0
SB0243,2023_2024,2023-RS,Requiring substance use disorder inpatient providers to provide transportation to patients,Health,0
SB0244,2023_2024,2023-RS,"Making rosters of individuals who obtain professional, occupational, and trade licenses, registrations, and certificates available to public",Boards and Commissions; Professions and Occupations; Records and Papers,0
