bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0020,2015,131,2015-01-28,House,Introduced,,1
HCR0021,2015,131,2016-04-12,Senate,Refer to Committee,Medicaid,5
HCR0021,2015,131,2016-02-24,Senate,Introduced,,4
HCR0021,2015,131,2016-02-23,House,Adopted,,3
HCR0021,2015,131,2016-02-17,House,Reported,Health and Aging,2
HCR0021,2015,131,2015-06-11,House,Introduced and Referred to Committee,Health and Aging,1
HR0021,2015,131,2015-02-10,House,Adopted,,1
HB0021,2015,131,2015-01-29,House,Refer to Committee,Transportation and Infrastructure,2
HB0021,2015,131,2015-01-28,House,Introduced,,1
HB0022,2015,131,2015-03-04,Senate,Refer to Committee,"Transportation, Commerce and Labor",6
HB0022,2015,131,2015-02-23,Senate,Introduced,,5
HB0022,2015,131,2015-02-18,House,Passed,,4
HB0022,2015,131,2015-02-18,House,Reported,Government Accountability and Oversight,3
HB0022,2015,131,2015-01-29,House,Refer to Committee,Government Accountability and Oversight,2
HB0022,2015,131,2015-01-28,House,Introduced,,1
HR0022,2015,131,2015-02-10,House,Adopted,,1
HCR0022,2015,131,2015-06-11,House,Introduced and Referred to Committee,State Government,1
HB0023,2015,131,2015-06-03,Senate,Refer to Committee,Ways and Means,6
HB0023,2015,131,2015-06-02,Senate,Introduced,,5
HB0023,2015,131,2015-05-27,House,Passed,,4
HB0023,2015,131,2015-05-13,House,Reported - Substitute,Ways and Means,3
HB0023,2015,131,2015-02-10,House,To committee,Ways and Means,2
HB0023,2015,131,2015-01-28,House,Introduced,,1
HCR0023,2015,131,2015-06-16,House,Introduced and Referred to Committee,,1
HR0023,2015,131,2015-02-18,House,Adopted,,1
HB0024,2015,131,2015-03-25,Senate,Refer to Committee,Health and Human Services,6
HB0024,2015,131,2015-03-18,Senate,Introduced,,5
HB0024,2015,131,2015-03-17,House,Passed,,4
HB0024,2015,131,2015-03-11,House,Reported - Amended,Judiciary,3
HB0024,2015,131,2015-02-10,House,To committee,Judiciary,2
HB0024,2015,131,2015-01-29,House,Introduced,,1
HCR0024,2015,131,2015-12-03,House,Reported,Energy and Natural Resources,2
HCR0024,2015,131,2015-09-16,House,Introduced and Referred to Committee,Energy and Natural Resources,1
HR0024,2015,131,2015-02-18,House,Adopted,,1
HCR0025,2015,131,2016-01-27,House,Reported,"Armed Services, Veterans Affairs, and Public Safety",2
HCR0025,2015,131,2015-09-16,House,Introduced and Referred to Committee,"Armed Services, Veterans Affairs, and Public Safety",1
HR0025,2015,131,2015-02-25,House,Adopted,,1
HB0025,2015,131,2015-02-10,House,To committee,Education,2
HB0025,2015,131,2015-01-29,House,Introduced,,1
HCR0026,2015,131,2016-05-25,Senate,Adopted,,7
HCR0026,2015,131,2016-05-17,Senate,Reported,State and Local Government,6
HCR0026,2015,131,2016-02-23,Senate,Refer to Committee,State and Local Government,5
HCR0026,2015,131,2016-02-18,Senate,Offered,,4
HCR0026,2015,131,2016-02-17,House,Adopted,,3
HCR0026,2015,131,2016-01-27,House,Reported,"Armed Services, Veterans Affairs, and Public Safety",2
HCR0026,2015,131,2015-09-16,House,Introduced and Referred to Committee,"Armed Services, Veterans Affairs, and Public Safety",1
HB0026,2015,131,2015-06-24,Senate,Refer to Committee,Ways and Means,6
HB0026,2015,131,2015-06-17,House,Passed,,5
HB0026,2015,131,2015-06-18,Senate,Introduced,,4
HB0026,2015,131,2015-05-20,House,Reported,Ways and Means,3
HB0026,2015,131,2015-02-10,House,To committee,Ways and Means,2
