bill_id,term,session,title,commem
HB0241,2023_2024,2023-RS,CONSTRUCTION OF CERTAIN DWELLING UNITS,0
HB0242,2023_2024,2023-RS,PRIVATE RIGHT OF ACTION FOR CERTAIN STATUTES,0
HB0243,2023_2024,2023-RS,GRID MODERNIZATION PLANS,0
HB0244,2023_2024,2023-RS,PUBLIC ASSISTANCE BENEFIT AMOUNT,0
HB0245,2023_2024,2023-RS,EMPLOYEE FREE SPEECH ACT,0
HB0246,2023_2024,2023-RS,CNM BOOT CAMP TRAINING PROGRAMS,0
HB0247,2023_2024,2023-RS,INTERSTATE MEDICAL LICENSURE COMPACT,0
HB0248,2023_2024,2023-RS,PHYSICAL THERAPY LICENSURE COMPACT,0
HB0249,2023_2024,2023-RS,PSYCHOLOGY INTERJURISDICTIONAL COMPACT,0
HB0250,2023_2024,2023-RS,CORRECTIONS OF REAL PROPERTY RECORDINGS,0
HB0251,2023_2024,2023-RS,SECURITY SYSTEM IPRA DISCLOSURE,0
HB0252,2023_2024,2023-RS,SCHOOL DISTRICT ATTENDANCE INCENTIVES,0
HB0253,2023_2024,2023-RS,NONPROFIT GAMING CHANGES,0
HB0254,2023_2024,2023-RS,SCHOOL MARSHAL ACT,0
HB0255,2023_2024,2023-RS,EMPLOYEE LEASING BENEFIT PLANS,0
HB0256,2023_2024,2023-RS,HYBRID DUAL CREDIT PILOT PROJECT,0
HB0257,2023_2024,2023-RS,FIREFIGHTER & EMERGENCY PROVIDER PEER SUPPORT,0
HB0258,2023_2024,2023-RS,CRIME OF PROVIDING ABORTIONS,0
HB0259,2023_2024,2023-RS,PRIVATE INVESTIGATION LICENSURE,0
HB0260,2023_2024,2023-RS,HEALTH INSURANCE MENTAL HEALTH COVERAGE,0
HB0261,2023_2024,2023-RS,EXPAND UNLAWFUL TAKING OF BIG GAME,0
HB0262,2023_2024,2023-RS,TRANSFER CONNECT NM GRANT PROGRAM,0
HB0263,2023_2024,2023-RS,OVERDOSE PREVENTION PROGRAM,0
HB0264,2023_2024,2023-RS,STUDY MEDICAID MANAGED CARE STRUCTURE,0
HB0265,2023_2024,2023-RS,STATE PARK FEE INCREASE FOR UPKEEP,0
HB0266,2023_2024,2023-RS,EQUAL EDUCATION OPPORTUNITY SCHOLARSHIP ACT,0
HB0267,2023_2024,2023-RS,RESTRICTED LICENSE EXPERTS,0
HB0268,2023_2024,2023-RS,ARROYO HONDO ARRIBA LAND GRANT,0
HB0269,2023_2024,2023-RS,FED INFO FOR COMMERCIAL DRIVER'S LICENSES,0
HB0270,2023_2024,2023-RS,EMERGENCY SUSPENSION OF TRUCKING LAWS,0
HB0271,2023_2024,2023-RS,CAR ACCIDENTS REQUIRING REPORTS,0
HB0272,2023_2024,2023-RS,YOUTH ATHLETE BRAIN INJURY CHIROPRACTORS,0
HB0273,2023_2024,2023-RS,UNIFORM COHABITANTS' ECON REMEDIES ACT,0
HB0274,2023_2024,2023-RS,"AMERICAN ASIAN, PAC. ISLANDER & HAWAIIAN DAY",0
HB0275,2023_2024,2023-RS,ORAL FLUID ROADSIDE DETECTION PILOT PROJECT,0
HB0276,2023_2024,2023-RS,OIL & GAS PERMIT APPLICATIONS,0
HB0277,2023_2024,2023-RS,FIRST RESPONDER SURVIVOR BENEFITS,0
HB0278,2023_2024,2023-RS,HIGHER ED PHYSICIAN SHORTAGES,0
HB0279,2023_2024,2023-RS,PERSONAL FINANCE CLASS FOR GRADUATION,0
HB0280,2023_2024,2023-RS,AMERICAN INDIAN ED TECH ASSISTANCE CENTERS,0
HB0281,2023_2024,2023-RS,REVISED UNIFORM LLC ACT,0
HB0282,2023_2024,2023-RS,PERMANENT PROTECTION ORDERS IN SOME CASES,0
HB0283,2023_2024,2023-RS,SCHOOL MARSHAL ACT,0
HB0284,2023_2024,2023-RS,CYFD ADULT FAMILY SEARCHES,0
HB0285,2023_2024,2023-RS,OFFICE OF SPECIAL EDUCATION,0
HB0286,2023_2024,2023-RS,MOTOR VEHICLE SUN SCREEN MATERIALS,0
HB0287,2023_2024,2023-RS,DRIVER SAFETY AWARENESS LICENSE PLATES,0
HB0288,2023_2024,2023-RS,CLOSED CAPTIONING ACT,0
HB0289,2023_2024,2023-RS,SENTENCING COMMISSION DATA COLLECTION,0
HB0290,2023_2024,2023-RS,AMYOTROPHIC LATERAL SCLEROSIS SUPPORT,0
HB0291,2023_2024,2023-RS,LIFE & HEALTH INSURANCE GUARANTY ASSOC.,0
HB0292,2023_2024,2023-RS,"MEDICAL CANNABIS ""SAFETY-SENSITIVE POSITION""",0
HB0293,2023_2024,2023-RS,ANALYZE HEALTH CARE COST DRIVERS,0
HB0294,2023_2024,2023-RS,PUBLIC EMPLOYEES RETURNING TO WORK,0
HB0295,2023_2024,2023-RS,FIREARMS ON SCHOOL PROPERTY SOFTWARE,0
